code_city	city
11316	24 De Mayo
32202	Aguarico
20602	Alausi
10902	Alfredo Baquerizo Moreno
21801	Ambato
21002	Antonio Ante
31604	Arajuno
31503	Archidona
10702	Arenillas
10806	Atacames
10703	Atahualpa
20301	Azogues
11202	Baba
11201	Babahoyo
10903	Balao
10704	Balsas
10904	Balzar
21802	Banos De Agua Santa
20302	Biblian
11302	Bolivar
20402	Bolivar
11210	Buena Fe
20206	Caluma
21102	Calvas
20115	Camilo Ponce Enriquez
20303	Canar
31509	Carlos Julio Arosemena Tola
32106	Cascales
21103	Catamayo
21702	Cayambe
21104	Celica
31907	Centinela Del Condor
21803	Cevallos
21105	Chahuarpamba
20604	Chambo
10705	Chilla
20202	Chillanes
20203	Chimbo
31902	Chinchipe
11303	Chone
20111	Chordeleg
20605	Chunchi
10905	Colimes
20603	Colta
10923	Coronel Marcelino Mariduena
21003	Cotacachi
20101	Cuenca
20610	Cumanda
32107	Cuyabeno
10906	Daule
20306	Deleg
10907	Duran
20204	Echeandia
11304	El Carmen
31504	El Chaco
10908	El Empalme
10706	El Guabo
20112	El Pan
31906	El Pangui
20305	El Tambo
10909	El Triunfo
10802	Eloy Alfaro
10801	Esmeraldas
20403	Espejo
21106	Espindola
11305	Flavio Alfaro
32201	Francisco De Orellana
10927	General Antonio Elizalde
20102	Giron
32102	Gonzalo Pizarro
21107	Gonzanama
20114	Guachapala
20103	Gualaceo
31402	Gualaquiza
20606	Guamote
20607	Guano
20201	Guaranda
10901	Guayaquil
31407	Huamboya
10707	Huaquillas
21001	Ibarra
42002	Isabela
10928	Isidro Ayora
11320	Jama
11321	Jaramijo
11306	Jipijapa
11307	Junin
10808	La Concordia
22302	La Concordia
32203	La Joya De Los Sachas
10926	La Libertad
12402	La Libertad
20502	La Mana
20304	La Troncal
32101	Lago Agrio
10714	Las Lajas
20207	Las Naves
20501	Latacunga
31403	Limon - Indanza
31410	Logrono
21101	Loja
10924	Lomas De Sargentillo
32204	Loreto
21108	Macara
10701	Machala
11308	Manta
10708	Marcabeli
21703	Mejia
31602	Mera
10910	Milagro
20404	Mira
11212	Mocache
21804	Mocha
11203	Montalvo
11309	Montecristi
20405	Montufar
31401	Morona
10803	Muisne
20104	Nabon
31903	Nangaritza
10911	Naranjal
10912	Naranjito
10925	Nobol (Vicente Piedrahita)
11318	Olmedo
21116	Olmedo
20110	Ona
21004	Otavalo
31411	Pablo Sexto
11310	Pajan
31908	Palanda
11209	Palenque
10913	Palestina
20608	Pallatanga
31404	Palora
21109	Paltas
20503	Pangua
31909	Paquisha
10709	Pasaje
31601	Pastaza
21805	Patate
20105	Paute
11317	Pedernales
10914	Pedro Carbo
21704	Pedro Moncayo
21708	Pedro Vicente Maldonado
20609	Penipe
11311	Pichincha
21005	Pimampiro
10710	Pinas
21114	Pindal
10921	Playas (General Villamil)
10711	Portovelo
11301	Portoviejo
20106	Pucara
11204	Pueblo Viejo
11319	Puerto Lopez
21709	Puerto Quito
20504	Pujili
32103	Putumayo
21110	Puyango
21806	Quero
11205	Quevedo
31507	Quijos
21115	Quilanga
10804	Quininde
11213	Quinsaloma
21701	Quito
10807	Rio Verde
20601	Riobamba
11312	Rocafuerte
21705	Ruminahui
20505	Salcedo
10915	Salinas
12403	Salinas
10919	Salitre
10916	Samborondon
42001	San Cristobal
20107	San Fernando
10920	San Jacinto De Yaguachi
31408	San Juan Bosco
10805	San Lorenzo
20205	San Miguel
21707	San Miguel De Los Bancos
21006	San Miguel De Urcuqui
20406	San Pedro De Huaca
21807	San Pedro De Pelileo
11322	San Vicente
11313	Santa Ana
31603	Santa Clara
42003	Santa Cruz
10917	Santa Elena
12401	Santa Elena
20108	Santa Isabel
10918	Santa Lucia
10712	Santa Rosa
31405	Santiago
21808	Santiago De Pillaro
21706	Santo Domingo
22301	Santo Domingo
20506	Saquisili
21111	Saraguro
20113	Sevilla De Oro
32104	Shushufindi
20507	Sigchos
20109	Sigsig
10922	Simon Bolivar
21112	Sozoranga
11314	Sucre
31406	Sucua
32105	Sucumbios
20307	Suscal
31409	Taisha
31501	Tena
21809	Tisaleo
31412	Tiwintza
11315	Tosagua
20401	Tulcan
11206	Urdaneta
11211	Valencia
11207	Ventanas
99999	Verificar
11208	Vinces
31904	Yacuambi
31905	Yantzaza
31901	Zamora
21113	Zapotillo
10713	Zaruma
99999 Unknown
