n1	n2	n3	n4	code_province	code_city	Empresas	Transacciones	year
A	A01	A011	A0111	109	10901	5	3832213.85	2007
A	A01	A011	A0111	109	10904	1	33018.25	2007
A	A01	A011	A0111	112	11201	1	1902930.8	2007
A	A01	A011	A0111	112	11205	4	3971320.11	2007
A	A01	A011	A0111	112	11207	5	5960062.19	2007
A	A01	A011	A0111	112	11208	1	34122.52	2007
A	A01	A011	A0111	112	11210	3	456557.92	2007
A	A01	A011	A0111	112	11211	2	259102.77	2007
A	A01	A011	A0111	113	11301	1	92411.76	2007
A	A01	A011	A0111	113	11304	2	260347.4	2007
A	A01	A011	A0111	113	11305	1	804951.33	2007
A	A01	A011	A0111	113	11309	1	2836629.14	2007
A	A01	A011	A0111	113	11313	1	5344.9	2007
A	A01	A011	A0111	201	20101	1	671320.51	2007
A	A01	A011	A0111	204	20404	1	3614.68	2007
A	A01	A011	A0111	205	20501	1	72684.16	2007
A	A01	A011	A0111	205	20502	1	27755.36	2007
A	A01	A011	A0111	205	20505	1	160704.68	2007
A	A01	A011	A0111	206	20601	2	35344.39	2007
A	A01	A011	A0111	206	20604	1	48144.97	2007
A	A01	A011	A0111	210	21003	1	10258.54	2007
A	A01	A011	A0111	217	21701	9	11861046.12	2007
A	A01	A011	A0111	217	21702	1	103969.19	2007
A	A01	A011	A0111	217	21703	1	216068.94	2007
A	A01	A011	A0111	217	21704	1	221743.26	2007
A	A01	A011	A0111	217	21709	1	28786.47	2007
A	A01	A011	A0111	223	22301	2	1001155.12	2007
A	A01	A011	A0112	107	10701	1	25494.62	2007
A	A01	A011	A0112	107	10702	1	54186.33	2007
A	A01	A011	A0112	107	10712	1	7147.63	2007
A	A01	A011	A0112	109	10901	11	1943744.17	2007
A	A01	A011	A0112	109	10904	1	1284859.75	2007
A	A01	A011	A0112	109	10905	1	125087.86	2007
A	A01	A011	A0112	109	10906	3	1003655.54	2007
A	A01	A011	A0112	109	10907	1	2065363.81	2007
A	A01	A011	A0112	109	10909	2	5420.0	2007
A	A01	A011	A0112	109	10910	2	876548.03	2007
A	A01	A011	A0112	109	10911	1	99618.59	2007
A	A01	A011	A0112	109	10913	2	918473.03	2007
A	A01	A011	A0112	109	10916	4	2636733.84	2007
A	A01	A011	A0112	109	10918	1	79066.18	2007
A	A01	A011	A0112	109	10919	3	56113.58	2007
A	A01	A011	A0112	109	10924	2	632259.69	2007
A	A01	A011	A0112	109	10925	1	144385.0	2007
A	A01	A011	A0112	112	11201	16	2849513.18	2007
A	A01	A011	A0112	112	11202	1	263.6	2007
A	A01	A011	A0112	112	11203	3	385226.01	2007
A	A01	A011	A0112	112	11205	1	108653.25	2007
A	A01	A011	A0112	112	11207	1	2607421.94	2007
A	A01	A011	A0112	113	11312	1	19276.16	2007
A	A01	A011	A0112	201	20101	1	6205.73	2007
A	A01	A011	A0112	203	20304	5	623232.78	2007
A	A01	A011	A0112	211	21108	2	580848.86	2007
A	A01	A011	A0112	217	21701	1	8599.37	2007
A	A01	A011	A0113	109	10901	5	615314.67	2007
A	A01	A011	A0113	112	11212	1	75837.99	2007
A	A01	A011	A0113	113	11301	1	37482.15	2007
A	A01	A011	A0113	113	11312	1	28646.64	2007
A	A01	A011	A0113	201	20101	2	108916.49	2007
A	A01	A011	A0113	201	20108	1	74154.08	2007
A	A01	A011	A0113	201	20114	1	8286.32	2007
A	A01	A011	A0113	202	20201	1	23533.69	2007
A	A01	A011	A0113	203	20301	1	2655.48	2007
A	A01	A011	A0113	204	20401	5	1132432.22	2007
A	A01	A011	A0113	204	20405	3	189018.82	2007
A	A01	A011	A0113	205	20501	6	1568614.7	2007
A	A01	A011	A0113	205	20504	1	89044.41	2007
A	A01	A011	A0113	205	20505	2	112284.1	2007
A	A01	A011	A0113	206	20601	3	125482.74	2007
A	A01	A011	A0113	206	20608	1	63972.94	2007
A	A01	A011	A0113	210	21001	2	206307.83	2007
A	A01	A011	A0113	210	21006	1	98668.04	2007
A	A01	A011	A0113	217	21701	16	2234112.69	2007
A	A01	A011	A0113	217	21702	2	342043.21	2007
A	A01	A011	A0113	217	21703	1	14537804.16	2007
A	A01	A011	A0113	217	21704	1	92878.16	2007
A	A01	A011	A0113	218	21801	5	1292632.11	2007
A	A01	A011	A0113	218	21805	1	59.48	2007
A	A01	A011	A0113	218	21808	5	2412536.35	2007
A	A01	A011	A0113	223	22301	3	370275.65	2007
A	A01	A011	A0113	314	31401	1	1627.8	2007
A	A01	A011	A0114	109	10901	9	1065613.37	2007
