n3	n3_description	n3_description_ENG
A011	Cultivo de plantas no perennes	Growing of non-perennial crops
A012	Cultivo de plantas perennes	Growing of perennial crops
A013	Propagacion de plantas	Plant propagation
A014	Ganaderia	Animal production
A015	Cultivo de productos agricolas en combinacion con la cria de animales (explotacion mixta)	Mixed farming
A016	Actividades de apoyo a la agricultura y la ganaderia y actividades poscosecha	Support activities to agriculture and post-harvest crop activities
A017	Caza ordinaria y mediante trampas y actividades de servicios conexas	"Hunting, trapping and related service activities"
A021	Silvicultura y otras actividades forestales	Silviculture and other forestry activities
A022	Extraccion de madera	Logging
A023	Recoleccion de productos forestales distintos de la madera	Gathering of non-wood forest products
A024	Servicios de apoyo a la silvicultura	Support services to forestry
A031	Pesca	Fishing
A032	Acuicultura	Aquaculture
B051	Extraccion de carbon de piedra	Mining of hard coal
B052	Extraccion de lignito	Mining of lignite
B061	Extraccion de petroleo crudo	Extraction of crude petroleum
B062	Extraccion de gas natural	Extraction of natural gas
B071	Extraccion de minerales de hierro	Mining of iron ores
B072	Extraccion de minerales metaliferos no ferrosos	Mining of non-ferrous metal ores
B081	"Extraccion de piedra, arena y arcilla"	"Quarrying of stone, sand and clay"
B089	Explotacion de minas y canteras n.c.p.	Mining and quarrying n.e.c.
B091	Actividades de apoyo para la extraccion de petroleo y gas natural	Support activities for petroleum and natural gas extraction
B099	Actividades de apoyo para otras actividades de explotacion de minas y canteras	Support activities for other mining and quarrying
C101	Elaboracion y conservacion de carne	Processing and preserving of meat
C102	"Elaboracion y conservacion de pescado, crustaceos y moluscos"	"Processing and preserving of fish, crustaceans and molluscs"
C103	"Elaboracion y conservacion de frutas, legumbres y hortalizas"	Processing and preserving of fruit and vegetables
C104	Elaboracion de aceites y grasas de origen vegetal y animal	Manufacture of vegetable and animal oils and fats
C105	Elaboracion de productos lacteos	Manufacture of dairy products
C106	"Elaboracion de productos de molineria, almidones y productos derivados del almidon"	"Manufacture of grain mill products, starches and starch products"
C107	Elaboracion de otros productos alimenticios	Manufacture of other food products
C108	Elaboracion de piensos preparados para animales	Manufacture of prepared animal feeds
C110	Elaboracion de bebidas	Manufacture of beverages
C120	Elaboracion de productos de tabaco	Manufacture of tobacco products
C131	"Hilatura, tejedura y acabado de productos textiles"	"Spinning, weaving and finishing of textiles"
C139	Fabricacion de otros productos textiles	Manufacture of other textiles
