clave_periodo,code_province,code_city,parroquia,code_sostenimiento,code_acceso,Instituciones,Estudiantes,Promovidos,No_promovidos,Abandono
2009-2010,113,11316,ARQ. SIXTO DURAN BALLEN,S1,A1,18,978,898,44,36
2009-2010,113,11316,ARQ. SIXTO DURAN BALLEN,S2,A1,1,31,31,0,0
2009-2010,113,11316,ARQ. SIXTO DURAN BALLEN,S3,A1,4,87,73,14,0
2009-2010,113,11316,ARQ. SIXTO DURAN BALLEN,S4,A1,4,109,89,6,14
2009-2010,113,11316,BELLAVISTA,S1,A1,31,1486,1332,81,73
2009-2010,113,11316,BELLAVISTA,S2,A1,2,43,34,5,4
2009-2010,113,11316,BELLAVISTA,S3,A1,1,15,13,2,0
2009-2010,113,11316,BELLAVISTA,S4,A1,3,49,49,0,0
2009-2010,113,11316,NOBOA,S1,A1,33,1356,1217,66,73
2009-2010,113,11316,SUCRE,S1,A1,56,3836,3564,139,133
2009-2010,113,11316,SUCRE,S2,A1,2,36,19,15,2
2009-2010,113,11316,SUCRE,S3,A1,2,30,28,1,1
2009-2010,113,11316,SUCRE,S4,A1,2,86,86,0,0
2009-2010,322,32202,CAPITAN AUGUSTO RIVADENEYRA,S1,A2,6,235,180,35,20
2009-2010,322,32202,CONONACO,S1,A2,1,25,25,0,0
2009-2010,322,32202,CONONACO,S1,A1,2,62,62,0,0
2009-2010,322,32202,NUEVO ROCAFUERTE,S1,A2,3,313,294,5,14
2009-2010,322,32202,NUEVO ROCAFUERTE,S1,A1,1,31,29,0,2
2009-2010,322,32202,SANTA MARIA DE HUIRIRIMA,S1,A2,4,169,141,24,4
2009-2010,322,32202,TIPUTINI,S1,A2,9,471,443,19,9
2009-2010,322,32202,YASUNI,S1,A2,3,60,46,12,2
2009-2010,206,20602,ACHUPALLAS,S1,A1,58,2816,2284,364,168
2009-2010,206,20602,ALAUSI,S1,A1,22,3349,2941,183,225
2009-2010,206,20602,ALAUSI,S2,A1,1,166,163,0,3
2009-2010,206,20602,ALAUSI,S4,A1,2,167,160,2,5
2009-2010,206,20602,GUASUNTOS,S1,A1,10,585,546,15,24
2009-2010,206,20602,HUIGRA,S1,A1,23,736,665,36,35
2009-2010,206,20602,MULTITUD,S1,A1,26,390,358,12,20
2009-2010,206,20602,MULTITUD,S2,A1,1,77,74,0,3
