clave_periodo	year	code_province	code_city	parroquia	code_sostenimiento	code_acceso	Instituciones	Estudiantes	Promovidos	No_promovidos	Abandono	Promovidos_total	No_promovidos_total	Abandono_total
2009-2010	2009	113	11316	ARQ. SIXTO DURAN BALLEN	S2	A1	1	31	100.00	0.00	0.00	31	0	0
2009-2010	2009	113	11316	BELLAVISTA	S4	A1	3	49	100.00	0.00	0.00	49	0	0
2009-2010	2009	113	11316	SUCRE	S4	A1	2	86	100.00	0.00	0.00	86	0	0
2009-2010	2009	322	32202	CONONACO	S1	A2	1	25	100.00	0.00	0.00	25	0	0
2009-2010	2009	322	32202	CONONACO	S1	A1	2	62	100.00	0.00	0.00	62	0	0
2009-2010	2009	316	31604	CURARAY	S2	A3	3	139	100.00	0.00	0.00	139	0	0
2009-2010	2009	108	10806	SUA	S3	A1	1	23	100.00	0.00	0.00	23	0	0
2009-2010	2009	108	10806	TONCHIGÜE	S3	A1	1	9	100.00	0.00	0.00	9	0	0
2009-2010	2009	107	10703	MILAGRO	S1	A1	3	20	100.00	0.00	0.00	20	0	0
2009-2010	2009	218	21802	BANOS DE AGUA SANTA	S2	A1	1	58	100.00	0.00	0.00	58	0	0
2009-2010	2009	112	11202	BABA	S3	A1	1	35	100.00	0.00	0.00	35	0	0
2009-2010	2009	112	11202	GUARE	S2	A1	1	34	100.00	0.00	0.00	34	0	0
2009-2010	2009	112	11201	DR. CAMILO PONCE	S2	A1	1	23	100.00	0.00	0.00	23	0	0
2009-2010	2009	109	10904	BALZAR	S1	A2	3	76	100.00	0.00	0.00	76	0	0
2009-2010	2009	109	10904	BALZAR	S3	A1	3	341	100.00	0.00	0.00	341	0	0
2009-2010	2009	203	20302	NAZON	S4	A1	1	196	100.00	0.00	0.00	196	0	0
2009-2010	2009	211	21102	EL LUCERO	S2	A1	1	11	100.00	0.00	0.00	11	0	0
2009-2010	2009	211	21102	SAN VICENTE	S2	A1	1	17	100.00	0.00	0.00	17	0	0
2009-2010	2009	201	20115	EL CARMEN DEL PIJILI	S2	A1	1	3	100.00	0.00	0.00	3	0	0
2009-2010	2009	211	21103	GUAYQUICHUMA	S1	A1	2	30	100.00	0.00	0.00	30	0	0
2009-2010	2009	217	21702	ASCAZUBI	S4	A1	1	85	100.00	0.00	0.00	85	0	0
2009-2010	2009	217	21702	AYORA	S4	A1	3	120	100.00	0.00	0.00	120	0	0
2009-2010	2009	211	21104	POZUL (SAN JUAN DE POZUL)	S3	A1	2	32	100.00	0.00	0.00	32	0	0
2009-2010	2009	211	21104	TNTE. MAXIMILIANO RODRIGUEZ LOAIZA	S3	A1	2	12	100.00	0.00	0.00	12	0	0
2009-2010	2009	211	21105	SANTA RUFINA	S3	A1	1	8	100.00	0.00	0.00	8	0	0
2009-2010	2009	319	31902	ZUMBA	S2	A1	1	179	100.00	0.00	0.00	179	0	0
2009-2010	2009	113	11303	CHONE	S2	A1	1	282	100.00	0.00	0.00	282	0	0
2009-2010	2009	113	11303	RICAURTE	S4	A1	4	44	100.00	0.00	0.00	44	0	0
2009-2010	2009	113	11303	SAN ANTONIO	S4	A1	3	19	100.00	0.00	0.00	19	0	0
2009-2010	2009	113	11303	SANTA RITA	S2	A1	1	50	100.00	0.00	0.00	50	0	0
2009-2010	2009	109	10905	SAN JACINTO	S2	A1	1	29	100.00	0.00	0.00	29	0	0
2009-2010	2009	109	10906	JUAN BAUTISTA AGUIRRE (LOS TINTOS)	S4	A1	2	36	100.00	0.00	0.00	36	0	0
2009-2010	2009	109	10906	LAUREL	S4	A1	3	273	100.00	0.00	0.00	273	0	0
2009-2010	2009	109	10906	LIMONAL	S4	A1	2	167	100.00	0.00	0.00	167	0	0
2009-2010	2009	109	10906	LOS LOJAS (ENRIQUE BAQUERIZO MORENO)	S3	A1	2	21	100.00	0.00	0.00	21	0	0
2009-2010	2009	109	10907	EL RECREO	S4	A3	1	44	100.00	0.00	0.00	44	0	0
2009-2010	2009	109	10907	ELOY ALFARO (DURAN)	S3	A1	2	56	100.00	0.00	0.00	56	0	0
2009-2010	2009	202	20204	ECHEANDIA	S3	A1	1	11	100.00	0.00	0.00	11	0	0
2009-2010	2009	319	31906	EL PANGUI	S1	A2	2	34	100.00	0.00	0.00	34	0	0
2009-2010	2009	108	10802	ANCHAYACU	S3	A1	1	26	100.00	0.00	0.00	26	0	0
2009-2010	2009	108	10802	ANCHAYACU	S4	A1	1	93	100.00	0.00	0.00	93	0	0
2009-2010	2009	108	10802	LUIS VARGAS TORRES	S1	A2	2	86	100.00	0.00	0.00	86	0	0
2009-2010	2009	109	10908	GUAYAS (PUEBLO NUEVO)	S3	A1	5	57	100.00	0.00	0.00	57	0	0
2009-2010	2009	108	10801	5 DE AGOSTO	S1	A2	1	29	100.00	0.00	0.00	29	0	0
2009-2010	2009	108	10801	SAN MATEO	S4	A1	1	30	100.00	0.00	0.00	30	0	0
2009-2010	2009	204	20403	EL ANGEL	S3	A1	1	16	100.00	0.00	0.00	16	0	0
2009-2010	2009	204	20403	EL ANGEL	S4	A1	1	8	100.00	0.00	0.00	8	0	0
2009-2010	2009	113	11305	SAN FRANCISCO DE NOVILLO	S3	A1	1	41	100.00	0.00	0.00	41	0	0
2009-2010	2009	314	31402	AMAZONAS (ROSARIO DE CUYES)	S1	A1	3	42	100.00	0.00	0.00	42	0	0
2009-2010	2009	314	31402	BERMEJOS	S1	A1	2	41	100.00	0.00	0.00	41	0	0
2009-2010	2009	314	31402	BOMBOIZA	S1	A2	2	43	100.00	0.00	0.00	43	0	0
2009-2010	2009	314	31402	CHIGÜINDA	S1	A1	6	207	100.00	0.00	0.00	207	0	0
2009-2010	2009	314	31402	EL IDEAL	S1	A1	4	86	100.00	0.00	0.00	86	0	0
2009-2010	2009	314	31402	EL ROSARIO	S2	A1	1	52	100.00	0.00	0.00	52	0	0
2009-2010	2009	314	31402	SAN MIGUEL DE CUYES	S1	A1	2	27	100.00	0.00	0.00	27	0	0
2009-2010	2009	206	20606	GUAMOTE	S2	A1	1	25	100.00	0.00	0.00	25	0	0
2009-2010	2009	206	20607	LA PROVIDENCIA	S1	A1	1	35	100.00	0.00	0.00	35	0	0
2009-2010	2009	206	20607	VALPARAISO	S1	A1	5	45	100.00	0.00	0.00	45	0	0
2009-2010	2009	202	20201	SAN LUIS DE PAMBIL	S1	A2	1	32	100.00	0.00	0.00	32	0	0
2009-2010	2009	109	10901	BOLIVAR  (SAGRARIO)	S2	A1	1	60	100.00	0.00	0.00	60	0	0
2009-2010	2009	109	10901	CHONGON	S2	A1	1	56	100.00	0.00	0.00	56	0	0
2009-2010	2009	109	10901	FEBRES CORDERO	S3	A1	2	215	100.00	0.00	0.00	215	0	0
2009-2010	2009	109	10901	MORRO	S4	A1	1	44	100.00	0.00	0.00	44	0	0
2009-2010	2009	109	10901	SUCRE	S2	A1	1	50	100.00	0.00	0.00	50	0	0
2009-2010	2009	109	10901	TARQUI	S1	A2	1	55	100.00	0.00	0.00	55	0	0
2009-2010	2009	109	10901	TARQUI	S3	A1	4	55	100.00	0.00	0.00	55	0	0
2009-2010	2009	107	10707	EL PARAISO	S4	A1	1	121	100.00	0.00	0.00	121	0	0
2009-2010	2009	109	10928	ISIDRO AYORA	S3	A1	2	23	100.00	0.00	0.00	23	0	0
2009-2010	2009	113	11306	JULCUY	S4	A1	2	37	100.00	0.00	0.00	37	0	0
2009-2010	2009	113	11306	PEDRO PABLO GOMEZ	S2	A1	2	167	100.00	0.00	0.00	167	0	0
2009-2010	2009	113	11306	PEDRO PABLO GOMEZ	S4	A1	3	48	100.00	0.00	0.00	48	0	0
2009-2010	2009	322	32203	POMPEYA	S1	A2	1	46	100.00	0.00	0.00	46	0	0
